customer_id,dp,num_txn,basket_pct_MILK_FREE,basket_pct_EGG_FREE,basket_pct_GLUTEN_FREE,basket_pct_VEGETARIAN,basket_pct_VEGAN,basket_pct_KETO,basket_pct_PALEO,basket_pct_SHELLFISH_FREE,basket_pct_SOY_FREE,basket_pct_LACTOSE_FREE,basket_pct_PEANUT_FREE,basket_pct_PESCATARIAN,basket_pct_TREE_NUT_FREE,basket_pct_LOW_CARB,basket_pct_WHEAT_FREE,basket_pct_NO_DIET_PREFERENCES,basket_pct_NO_DIET_RESTRICTIONS
111,keto,9,0.043771,0.087542,0.03367,0.296296222,0.037037,0.286195222,0.00E+00,0.106060556,0.284511667,0.00E+00,0.333333222,0.296296222,0.228956111,0.313131222,0.040404,1,1
222,vegetarian,24,0.118342875,0.2246005,0.025823125,0.450507708,0.30881525,0.103640542,0.230255208,0.143929292,0.193511208,0.00E+00,0.262139625,0.450507708,0.241140958,0.119310042,0.135289958,1,1
333,keto,63,0.133588508,0.303307111,0.057233873,0.371892492,0.142995444,0.24167481,0.044764762,0.183700984,0.269478333,0.00E+00,0.377057238,0.367077333,0.394498889,0.238395349,0.203308127,1,1
444,pescatarian,9,0.106437333,0.326847667,0.066915222,0.343314111,0.085217222,0.045727,0.038904889,0.106036556,0.266337889,0.142809,0.309155,0.346200111,0.305259,0.088343778,0.254617556,1,1
555,vegan,24,0.045506458,0.188730625,0.018693708,0.434061792,0.04629,0.070635375,0.003086417,0.124944,0.095224417,0.07136125,0.243143042,0.434061792,0.187986292,0.0775045,0.158929667,1,1
666,vegan,13,0.222684846,0.232711539,0.112197,0.267372615,0.205895,0.131481077,0.013377923,0.170929923,0.168603077,0.00E+00,0.270176462,0.284466615,0.239407231,0.131481077,0.165799154,1,1
777,vegetarian,24,0.193648,0.324214208,0.246207167,0.541125292,0.245329125,0.222341708,0.053976208,0.192491917,0.411512,0.012289208,0.470345042,0.533171625,0.4366335,0.238510708,0.306541625,1,1
888,keto,28,0.036706357,0.185936679,0.0386905,0.379709571,0.073809536,0.23478325,0.023809536,0.066468286,0.308708357,0.00E+00,0.289630214,0.379709571,0.267408,0.23478325,0.168079536,1,1
999,vegan,55,0.153197709,0.214941873,0.091250782,0.284736436,0.1530572,0.129968909,0.065448473,0.207475218,0.229469636,0.013535346,0.311900946,0.295847546,0.282892055,0.137052018,0.230763582,1,1
1110,vegetarian,29,0.129263138,0.322722552,0.107539241,0.473029724,0.13538931,0.18115331,0.022204897,0.209536552,0.360695414,0.004056793,0.429902379,0.446648828,0.405790966,0.207860448,0.298985621,1,1
1221,pescatarian,103,0.154177427,0.560998757,0.127397573,0.607824282,0.119223728,0.167975563,0.056829107,0.226517777,0.227183553,0.007358117,0.358937078,0.627376689,0.545735757,0.195547418,0.24668201,1,1
1332,low_carb,26,0.177467731,0.381756269,0.163002654,0.472975115,0.210966231,0.198962269,0.015832,0.176433577,0.357828,0.018393231,0.415163077,0.476319577,0.383703077,0.215098423,0.346643654,1,1
1443,vegetarian,45,0.1922652,0.391128267,0.224340622,0.503371756,0.252666867,0.204089133,0.025131822,0.278114244,0.269158311,0.004302133,0.463047933,0.494838778,0.351762489,0.215434089,0.368839756,1,1
1554,pescatarian,14,0.327785929,0.332719071,0.229118786,0.275609214,0.120322857,0.190732143,0.012280714,0.277409929,0.32452,0.00E+00,0.4686535,0.321223286,0.461134714,0.166170786,0.362426071,1,1
1665,low_carb,40,0.301649325,0.3281652,0.089890875,0.474675475,0.28923795,0.309379675,0.098936875,0.319481175,0.4100812,0.001923075,0.4678335,0.475590125,0.459570375,0.32431205,0.331888375,1,1
1776,paleo,6,0.121041667,0.130208333,0.0594445,0.1225695,0.060902833,0.056736167,0.051875,0.0975695,0.124513833,0.00E+00,0.161875,0.176458333,0.1549305,0.0900695,0.110625,1,1
1887,keto,15,0.044805067,0.328340667,0.199332667,0.529833867,0.159588,0.1604368,0.020588267,0.219688267,0.270894333,0.016666667,0.370520867,0.529833867,0.445653133,0.2122264,0.276154267,1,1
1998,vegan,39,0.36979041,0.367660769,0.181492256,0.449075744,0.374657692,0.157756436,0.111657359,0.273162333,0.313904103,0.00E+00,0.401060051,0.444069641,0.337952974,0.188062487,0.332921026,1,1
2109,keto,61,0.360121853,0.400918098,0.291421246,0.420614361,0.307600377,0.228274475,0.086454721,0.29071482,0.374892098,0.011502967,0.463158984,0.420614361,0.451961689,0.244458672,0.371378738,1,1
2220,vegan,14,0.215363,0.454712571,0.137083143,0.623836357,0.276838429,0.2315345,0.0933995,0.109203857,0.292350929,0.045784071,0.477844786,0.627010929,0.406707929,0.274879429,0.324112714,1,1
2331,pescatarian,80,0.348261388,0.58264695,0.223859088,0.409408525,0.120224238,0.101996388,0.30400285,0.512925488,0.311940288,0.007738088,0.740511675,0.710286475,0.7215516,0.406093988,0.453899175,1,1
2442,pescatarian,19,0.087187895,0.260189211,0.182550316,0.497344684,0.099110421,0.154946,0.013157895,0.306224105,0.262752316,0.00E+00,0.492540263,0.497344684,0.392329895,0.171863316,0.272032,1,1
2553,pescatarian,19,0.237641526,0.369047474,0.132309632,0.414591842,0.217503211,0.104053263,0.017539316,0.235125421,0.360487842,0.00E+00,0.442205632,0.400442526,0.426406368,0.118687579,0.279205842,1,1
2664,vegetarian,50,0.11693574,0.46239836,0.27322126,0.56600752,0.09856296,0.1296108,0.02649856,0.15481998,0.42841312,0.00E+00,0.51964372,0.57020144,0.5002065,0.15504534,0.3748389,1,1
2775,vegan,20,0.20993785,0.2996409,0.09897515,0.3834344,0.21192015,0.1394065,0.0486435,0.29450095,0.28796655,0.00E+00,0.4258697,0.3820899,0.39758645,0.1465784,0.21649415,1,1
2886,low_carb,39,0.231689231,0.242250974,0.104997872,0.313599205,0.176758026,0.141660231,0.099948154,0.164361333,0.214580051,0.012979897,0.350464282,0.328249897,0.281511744,0.144265949,0.216425897,1,1
2997,vegetarian,17,0.035382118,0.167923588,0.009049765,0.222310235,0.028846177,0.036764706,0.00E+00,0.065045235,0.162267471,0.00E+00,0.193715471,0.222310235,0.174710941,0.036764706,0.145550529,1,1
3108,vegetarian,32,0.249727188,0.410590625,0.285122,0.598178281,0.259778156,0.156902188,0.066788906,0.248087156,0.355181688,0.076152625,0.580513625,0.61245275,0.422254281,0.1808965,0.385239375,1,1
3219,vegetarian,88,0.169985909,0.517406602,0.2387725,0.699163432,0.178831284,0.163877477,0.037098591,0.213456171,0.357517796,0.008964648,0.590517011,0.696972466,0.452555318,0.176759625,0.42169725,1,1
3330,vegetarian,101,0.293342931,0.383872673,0.089909663,0.491765099,0.261276158,0.194883238,0.038672624,0.288427485,0.361710535,0.00E+00,0.454450703,0.48917301,0.421916812,0.223250149,0.293791267,1,1
3441,vegan,18,0.594961889,0.608850778,0.312363278,0.644414778,0.620424889,0.453530278,0.174644444,0.283003222,0.346952056,0.063441167,0.622739667,0.644414778,0.277661333,0.5203875,0.596505056,1,1
3552,keto,22,0.141411727,0.248398364,0.165249955,0.4583505,0.190104182,0.244284955,0.019552136,0.178803364,0.306557455,0.016013727,0.382667364,0.4583505,0.313796864,0.283822773,0.140078909,1,1
3663,keto,28,0.194568857,0.371312,0.165835143,0.469789964,0.195096107,0.180649964,0.037780929,0.280223214,0.296366107,0.00E+00,0.425663821,0.470227679,0.408414286,0.227457893,0.243378464,1,1
3774,vegetarian,41,0.193290171,0.334676439,0.195099512,0.406303634,0.21129022,0.228107317,0.041726293,0.19214461,0.227846171,0.00E+00,0.356423366,0.408626512,0.259969585,0.245854512,0.338796585,1,1
3885,paleo,21,0.087244905,0.195048048,0.037414952,0.238265333,0.082483,0.140036048,0.043452381,0.135864381,0.206462619,0.00E+00,0.256272524,0.238265333,0.250320143,0.111464619,0.164795952,1,1
3996,paleo,29,0.298775966,0.339005828,0.177922103,0.479799241,0.286486793,0.138748345,0.029720828,0.189095379,0.227186897,0.046842793,0.411628621,0.479799241,0.312953448,0.164871655,0.249309621,1,1
4107,vegetarian,43,0.208356372,0.33881907,0.150419884,0.340049326,0.158895116,0.160556861,0.048303837,0.211173512,0.324981628,0.007204395,0.406485954,0.354054954,0.345656093,0.198409767,0.283246861,1,1
4218,vegan,18,0.370964722,0.509557,0.265351,0.5898085,0.401614722,0.1892335,0.097244222,0.436727222,0.519163833,0.005218222,0.566604889,0.5898085,0.566903611,0.235228722,0.375868611,1,1
4329,pescatarian,31,0.296518129,0.416486516,0.191469097,0.414098484,0.246368065,0.120311613,0.026568903,0.333230387,0.252464484,0.01302729,0.445594484,0.419384903,0.411624742,0.127417774,0.394172677,1,1
4440,vegetarian,90,0.160592278,0.3204121,0.149452133,0.384433756,0.146900089,0.175561144,0.030688789,0.214481544,0.304642367,0.00E+00,0.385774567,0.388603244,0.354422644,0.2177849,0.264729511,1,1
4551,pescatarian,7,0.323809571,0.464285714,0.028571429,0.478571429,0.345238143,0.145238143,0.007142857,0.142857143,0.154761857,0.00E+00,0.507142857,0.478571429,0.492857143,0.145238143,0.197619,1,1
4662,vegetarian,104,0.236278577,0.411636058,0.09566224,0.511978731,0.244506317,0.129708442,0.050735673,0.283445192,0.37006475,0.001346154,0.442955308,0.512771539,0.431464635,0.17382149,0.310787308,1,1
4773,keto,20,0.22227135,0.28245055,0.1673872,0.35862655,0.21575505,0.1536698,0.06501365,0.15374975,0.2817385,0.025,0.279392,0.35649625,0.17537365,0.15980075,0.2176724,1,1
4884,low_carb,15,0.314372267,0.390866467,0.1244922,0.385611867,0.317834067,0.192627867,0.156527467,0.297639467,0.305183,0.00E+00,0.398644267,0.4290234,0.3797714,0.275741867,0.315724533,1,1
4995,keto,31,0.137835129,0.238181484,0.068430581,0.285220742,0.12551871,0.161796097,0.067793871,0.130272419,0.246000387,0.015338516,0.265229516,0.289394484,0.215141452,0.181136774,0.202348419,1,1
5106,paleo,20,0.2221727,0.35051875,0.08218775,0.37239685,0.13686185,0.0867329,0.11654445,0.15178135,0.2575819,0.00E+00,0.4150148,0.38739685,0.34508075,0.1447191,0.25543645,1,1
5217,pescatarian,20,0.2345837,0.4832469,0.1695886,0.52877915,0.24463615,0.21174045,0.0662704,0.3828064,0.3368551,0.00E+00,0.5187898,0.5489812,0.5027642,0.2624708,0.3901476,1,1
5328,pescatarian,29,0.300314103,0.643758828,0.119168345,0.751069931,0.350964897,0.102274655,0.010344828,0.528346103,0.373307172,0.00E+00,0.777301035,0.789504138,0.775783897,0.136081276,0.37371231,1,1
